477,九日,ここのか,"nine days, the ninth day (of the month)"
478,,ハンカチ,handkerchief
479,～中,～ちゅう,"during, while ～ing"
480,警官,けいかん,policeman
481,毎晩,まいばん,every night
482,,かける,to dial/call (eg phone)
483,細い,ほそい,"thin, slender, fine"
484,遠い,とおい,"far, distant"
485,,どんな,"what, what kind of"
486,,おじいさん,"grandfather, male senior citizen"
487,日曜日,にちようび,Sunday
488,嫌い,きらい,"dislike, hate"
489,,どうぞ,"please, kindly, by all means"
490,歯,は,tooth
491,練習,れんしゅう（する）,(to) practice
492,飛行機,ひこうき,"aeroplane, airplane"
493,,そば,"near, close, beside"
494,秋,あき,"autumn, fall"
495,,ポケット,pocket
496,,にぎやか,"bustling, busy"
497,兄,あに,(hum) older brother
498,,どれ,which (of three or more)
499,,きれい,"pretty, clean, nice, tidy"
500,～語,～ご,"word, language"
501,～時,～とき,at the time of ～
502,,おととし,year before last
503,,では,with that...
504,五,ご,five
505,閉まる,しまる,"to close, to be closed"
506,塩,しお,salt
507,休み,やすみ,"rest, vacation, holiday"
508,手,て,hand
509,,セーター,"sweater, jumper"
510,暗い,くらい,"dark, gloomy"
511,多い,おおい,many
512,～枚,～まい,counter for flat things
513,,それ,"it, that"
514,生徒,せいと,pupil
515,,あびる,"to bathe, to shower"
516,青い,あおい,blue
517,,ほんとう,"reality, truth"
518,山,やま,mountain
519,降りる,おりる,"to alight (eg from bus), to get off"
520,見る,みる,"to see, to watch"
521,会社,かいしゃ,"company, corporation"
522,外国人,がいこくじん,foreigner
523,切符,きっぷ,ticket
524,お茶,おちゃ,tea (green)
525,先週,せんしゅう,"last week, the week before"
526,伯父/叔父・さん,おじ・さん,"uncle, middle aged man"
527,晩御飯,ばんごはん,"dinner, evening meal"
528,休む,やすむ,"to rest, to have a break, to take a day off"
529,午前,ごぜん,"morning, A.M."
530,自転車,じてんしゃ,bicycle
531,狭い,せまい,"narrow, confined, small"
532,冷たい,つめたい,cold (to the touch)
533,弱い,よわい,"weak, feable"
534,,テスト,test
535,毎週,まいしゅう,every week
536,～年,～ねん,～ years
537,意味,いみ,meaning
538,今週,こんしゅう,this week
539,後,あと,"afterwards, since then, in the future"
540,～時,～じ,time (～ O'clock)
541,困る,こまる,"to be worried, to be bothered"
542,,また,"again, and"
543,地下鉄,ちかてつ,"underground train, subway"
544,電話,でんわ,telephone
545,年,とし,"year, age"
546,,しかし,"however, but"
547,鼻,はな,nose
548,辛い,からい,"spicy, salty"
549,夜,よる,"evening, night"
550,歌う,うたう,to sing
551,,マッチ,match
552,並べる,ならべる,"to line up, to set up"
553,,とても,very
554,古い,ふるい,"old (not person), aged, ancient"
555,,そちら,over there
556,飴,あめ,"(hard) candy, toffee"
557,～円,～えん,yen (currency)
558,三つ,みっつ,three
559,渡る,わたる,"to cross over, to go across"
560,八つ,やっつ,eight
561,大きい,おおきい,big
562,,もっと,"more, longer, farther"
563,,もう,again
564,庭,にわ,garden
565,野菜,やさい,vegetable
566,,デパート,department store
567,何,なん/なに,what
568,,おもしろい,"interesting, amusing"
569,半,はん,half
570,果物,くだもの,fruit
571,乗る,のる,"to get on, to ride in, to board"
572,,ゆっくり・と,"slowly, at ease"
573,,カレンダー,calendar
574,,もう,already
575,,コーヒー,coffee
576,飲む,のむ,to drink
577,立つ,たつ,to stand
578,空,そら,sky
579,二十日,はつか,"twenty days, twentieth (day of the month)"
580,忘れる,わすれる,to forget
581,写真,しゃしん,photograph
582,,おいしい,"delicious, tasty"
583,学校,がっこう,school
584,駅,えき,station
585,鳴く,なく,"to sing (bird), to make sound (animal)"
586,,おばあさん,"grandmother, female senior-citizen"
587,黒い,くろい,black
588,,だんだん,"gradually, by degrees"
589,,あなた,you
590,店,みせ,"store, shop, establishment"
591,後ろ,うしろ,"behind, rear"
592,廊下,ろうか,corridor
593,八百屋,やおや,greengrocer
594,大丈夫,だいじょうぶ,"safe, all right, O.K."
595,万,まん,"ten thousand, everything"
596,魚,さかな,fish
597,,いす,chair
598,一日,ついたち,"for one day, first of month"
599,～匹,～ひき,counter for small animals
600,兄弟,きょうだい,siblings (brothers and sisters)
601,,あした,tomorrow
602,,あそこ,"there, over there, that place"
603,旅行,りょこう,"travel, trip"
604,,それから,"and then, after that"
605,,テーブル,table
606,出す,だす,"to put out, to send"
607,八,はち,eight
608,風邪,かぜ,"cold, illness"
609,肉,にく,meat
610,右,みぎ,right hand side
611,,あまり,"not very, not much"
612,一緒,いっしょ,together
613,忙しい,いそがしい,"busy, irritated"
614,宿題,しゅくだい,homework
615,全部,ぜんぶ,"all, entire, whole"
616,,かわいい,"cute, charming"
617,,ベッド,bed
618,～週間,～しゅうかん,～weeks
619,,つまらない,"insignificant, boring"
620,～階,～かい,counter for storeys of a building
621,～人,～にん,counter for people
622,,たて,"length, height"
623,～月,～がつ,month of year
624,電車,でんしゃ,electric train
625,元気,げんき,health
626,白,しろ,white
627,,かかる,"to take (eg time, money)"
628,机,つくえ,desk
629,～冊,～さつ,counter for books
630,紅茶,こうちゃ,black tea
631,開ける,あける,to open
632,友達,ともだち,friend
633,学生,がくせい,student
634,今,いま,now
635,お皿,おさら,"plate, dish"
636,,たいへん,"difficult situation, tough situation"
637,,フィルム,film (roll of)
638,楽しい,たのしい,"enjoyable, fun"
639,静か,しずか,"quiet, peaceful"
640,お姉さん,おねえさん,(hon) older sister
641,今日,きょう,"today, this day"
642,吹く,ふく,"to blow (wind, etc)"
643,,タクシー,taxi
644,大切,たいせつ,important
645,,それでは,"in that situation, well then..."
646,背広,せびろ,business suit
647,要る,いる,to need
648,白い,しろい,white
649,小さな,ちいさな,"small, little"
650,,ない,"there isn't, doesn't have"
651,結構,けっこう,"nice, enough"
652,,ちゃわん,rice bowl
653,声,こえ,voice
654,父,ちち,(one's own) father
655,音楽,おんがく,music
656,お父さん,おとうさん,(hon) father
657,,あの,um...
658,英語,えいご,the English language
659,閉める,しめる,"to close, to shut"
660,五つ,いつつ,five
661,万年筆,まんねんひつ,fountain pen
662,,いい/よい,good
663,,どこ,"where, what place"
664,花瓶,かびん,(flower) vase
665,,～ながら,"while ~ing, during, although"
666,半分,はんぶん,half
667,体,からだ,body
668,～人,～にん,counter for people
669,下,した,"under, below, beneath"
670,死ぬ,しぬ,to die
671,,コート,coat
672,,どなた,who
673,低い,ひくい,"short, low"
674,違う,ちがう,to differ (from)
675,長い,ながい,long
676,向こう,むこう,"beyond, over there"
677,窓,まど,window
678,,ポスト,post
679,買い物,かいもの,shopping
680,,ちょうど,"just, right, exactly"
681,温い,ぬるい,lukewarm
682,分かる,わかる,to understand
683,動物,どうぶつ,animal
684,,スポーツ,sport
685,鳥,とり,bird
686,六日,むいか,"six days, sixth (day of month)"
687,石鹸,せっけん,soap
688,十,とお,ten
689,さ来年,さらいねん,year after next
690,,まだ,"yet, still, besides"
691,危ない,あぶない,"dangerous, critical, watch out!"
692,上げる,あげる,to give
693,朝,あさ,morning
694,留学生,りゅうがくせい,overseas student
695,,いつも,"always, every time"
696,,そっち,over there
697,,こっち,"this eg person, way"
698,欲しい,ほしい,"want, in need of, desire"
699,～回,～かい,counter for occurrences
700,九つ,ここのつ,nine
701,習う,ならう,to learn
702,砂糖,さとう,sugar
703,出かける,でかける,"to depart, to go out"
704,大人,おとな,adult
705,地図,ちず,map
706,三日,みっか,"three days, the third day (of the month)"
707,曲る,まがる,"to turn, to bend"
708,今朝,けさ,this morning
709,仕事,しごと,"work, occupation, employment"
710,火曜日,かようび,Tuesday
711,,ネクタイ,"tie, necktie"
712,～歳,～さい,～years-old
713,,まっすぐ,"straight (ahead), direct"
714,とり肉,とりにく,chicken meat
715,入口,いりぐち,"entrance, gate"
716,丈夫,じょうぶ,"strong, solid, durable"
717,～番,～ばん,～st/th best
718,晴れる,はれる,to be sunny
719,服,ふく,clothes
720,無くす,なくす,to lose something
721,夏,なつ,summer
722,,キロ/キログラム,kilo (kilogram)
723,洋服,ようふく,Western-style clothes
724,便利,べんり,"convenient, handy"
725,薬,くすり,medicine
726,黄色,きいろ,yellow
